色分類,L*,a*,b*
青,48.01,-3.84,-9.44
青,30.47,1.36,-13.79
青,26.82,-0.24,-7.18
青,77.53,-7.66,-6.42
青,56.45,-26.24,-30.45
青,40.71,0.71,-33.39
青,52.93,-24.85,-13.98
青,38.45,-13.6,-9.09
緑,30.35,-3.49,0.43
ピンク,86.24,16.1,6.95
ピンク,54.54,47.13,-11.4
赤,51.33,53.91,32.26
赤,42.55,45.14,16.95
紫,38.49,16.25,2.09
紫,30.64,8.8,-10.83
黄色,86.75,5.71,69.88
オレンジ,75.2,25.92,69.75
オレンジ,61.89,36.51,47.79
茶,43.34,15.56,17.14
茶,50.53,3.28,16.92
茶,33.69,4.21,4.64
緑,91.62,-17.99,52.84
緑,76.31,-26.91,48.82
緑,70.67,-2.23,50.1
緑,67.93,-11.75,23.36
緑,48.04,-5.64,6.93
緑,35.98,0.96,15.24
高白色,98.02,2.22,-10.81
白,93.91,2.48,-6.42
ナチュラル,92.08,0.82,12.21
茶,86.75,1.65,9.77
グレー,75.99,3.38,2.07
グレー,62.85,0.78,-1.16
グレー,44.51,0.24,-1.69
黒,25.06,-0.22,0.38
グレー,80.18,4.44,6.85
茶,82.58,4.69,12.16
茶,68.87,10.79,13.86
ナチュラル,90.37,0.68,17.41
オレンジ,87.16,5.49,26.86
ピンク,87.29,11.97,13.6
ピンク,81.5,19.25,6.72
ピンク,80.77,12.37,-2.56
青,85.81,-2.25,-8.14
紫,66.02,3.61,-17.27
青,69.54,-6.9,-14.02
青,75.65,-17.18,-0.41
緑,80.3,-11.26,15.16
緑,79.54,-3.42,34.67
緑,86.61,-11.47,63.5
黄色,88.99,-1.63,79.31
黄色,80.31,16.09,78.09
オレンジ,69.58,26.07,62.77
オレンジ,64.62,42.14,51.6
オレンジ,52.46,46.66,35.76
赤,40.24,48.38,23.17
赤,46.16,42.56,22.15
赤,41.28,42.9,16.62
赤,36.61,31.56,11.61
ピンク,53.83,45.47,2.67
紫,37.43,17.62,-24.3
紫,46.24,2.46,-24.66
青,32.88,7.01,-29.46
青,43.06,-10.51,-32.42
緑,61.36,-42.88,0.41
緑,75.64,-18.92,58.91
緑,58.81,-9.2,41.2
緑,53.66,-7.45,6.42
緑,43.63,-17.04,4.03
茶,60.27,19.6,46.41
茶,43.71,4.13,10.71
茶,42.16,12.93,17.94
茶,44,18.12,8.81
青,32.84,-1.53,-13.34
紫,27.52,7.09,-11.1
緑,27.42,-5.96,8.19
茶,26.02,4.23,3.99
高白色,98,2.02,-10.48
白,93.81,2.41,-6.32
ナチュラル,92.03,1.02,12.62
茶,86.73,1.53,10.09
グレー,75.86,3.59,1.94
